Date,Price,Open,High,Low,Vol.,Change %
2024/7/10 00:00,39721.36,39272.45,39736.2,39256.72,336.92M,0.0109
2024/7/9 00:00,39291.97,39357.37,39492.28,39146.6,365.56M,-0.0013
2024/7/8 00:00,39344.79,39391.98,39654.96,39278.43,364.05M,-0.0008
2024/7/5 00:00,39375.87,39313.4,39399.62,39168.7,331.49M,0.0017
2024/7/3 00:00,39308,39358.95,39411.17,39230.86,202.07M,-0.0006
2024/7/2 00:00,39331.85,39108.25,39340.49,39085.69,325.02M,0.0041
2024/7/1 00:00,39169.52,39186.2,39438.36,39037.94,353.38M,0.0013
2024/6/28 00:00,39118.86,39092.39,39443.6,38937.15,688.50M,-0.0012
2024/6/27 00:00,39164.06,39107.1,39250.69,39026.75,352.60M,0.0009
2024/6/26 00:00,39127.8,39063.15,39183.74,38908.99,340.84M,0.0004
2024/6/25 00:00,39112.16,39398.79,39423.26,38997.23,344.64M,-0.0076
2024/6/24 00:00,39411.21,39184.49,39571.23,39184.49,387.00M,0.0067
2024/6/21 00:00,39150.33,39208.51,39257.18,39061.67,838.54M,0.0004
2024/6/20 00:00,39134.76,38804.73,39232.5,38778.46,404.72M,0.0077
2024/6/18 00:00,38834.86,38779.12,38936.93,38727.67,327.60M,0.0015
2024/6/17 00:00,38778.1,38565.18,38839.88,38431.95,351.11M,0.0049
2024/6/14 00:00,38589.16,38528.39,38595.24,38305.85,275.11M,-0.0015
2024/6/13 00:00,38647.1,38677.12,38712.21,38407.7,343.99M,-0.0017
2024/6/12 00:00,38712.21,38950.65,39120.26,38621.45,477.29M,-0.0009
2024/6/11 00:00,38747.42,38795.71,38795.71,38446.24,388.66M,-0.0031
2024/6/10 00:00,38868.04,38784.9,38877.86,38665.45,336.86M,0.0018
2024/6/7 00:00,38798.99,38861.24,39105.23,38751.85,272.34M,-0.0022
2024/6/6 00:00,38886.17,38825.4,39004.16,38735.99,270.19M,0.002
2024/6/5 00:00,38807.33,38774.82,38844.32,38548.77,315.04M,0.0025
2024/6/4 00:00,38711.29,38518.86,38786.62,38397.82,312.99M,0.0036
2024/6/3 00:00,38571.03,38709.99,38735.61,38247.22,320.21M,-0.003
2024/5/31 00:00,38686.32,38140.26,38719.43,38092.27,624.93M,0.0151
2024/5/30 00:00,38111.48,38368.35,38493.6,38000.96,365.27M,-0.0086
2024/5/29 00:00,38441.54,38716.28,38716.28,38413.67,294.72M,-0.0106
2024/5/28 00:00,38852.86,39028.99,39028.99,38706.14,306.72M,-0.0055
2024/5/24 00:00,39069.59,39089.23,39220.31,39020.29,254.83M,0.0001
2024/5/23 00:00,39065.26,39694.95,39694.95,39025.51,338.76M,-0.0153
2024/5/22 00:00,39671.04,39863.33,39890.91,39559.09,260.94M,-0.0051
2024/5/21 00:00,39872.99,39804.4,39905.8,39778.73,318.22M,0.0017
2024/5/20 00:00,39806.77,39989.76,40077.4,39787.09,275.31M,-0.0049
2024/5/17 00:00,40003.59,39911.72,40010.88,39858.86,305.08M,0.0034
2024/5/16 00:00,39869.38,39912.34,40051.05,39864.68,404.94M,-0.001
2024/5/15 00:00,39908,39615.1,39935.04,39615.1,424.32M,0.0088
2024/5/14 00:00,39558.11,39466.76,39616.41,39371.92,326.25M,0.0032
2024/5/13 00:00,39431.51,39591.28,39647.39,39403.05,325.23M,-0.0021
